











"ID","Unit Title","Unit Date","Start Year","End Year","Unit ID","Level","Originator","Container 1","Container 2","Container 3","Phys. Desc. 1","Phys. Desc. 2","Phys. Desc. 3","Phys. Loc","Access Restrict.","URN","Collection Title","Originator","Collection Date","Collection ID","Parent 1","Parent 2","Parent 3","Parent 4","Parent 5","Parent 6"
"hua04010c00132","Harvard Corporation records regarding work among the Indians, 1720-1812","1720-1812","1720","1812","I.","series","","","","",".40 cubic feet (67 folders).","","","","","","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","","","","","","",
"hua04010c00001","Legal bond of Oliver Peabody to Harvard College, April 15, 1720","April 15, 1720","1720","1720","UAI 20.720 Box 1, Folder 1","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513767","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00002","Letters to Edward Hutchinson from Oliver Peabody and John Leverett, March 7, 1722","March 7, 1722","1722","1722","UAI 20.720 Box 1, Folder 2","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513778","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00003","Settlement of Oliver Peabody, voted by the Commissioners of Indian Affairs and the Harvard Corporation, November 9, 1722","November 9, 1722","1722","1722","UAI 20.720 Box 1, Folder 3","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513789","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00004","Letter from Oliver Peabody to John Leverett, July 24, 1723","July 24, 1723","1723","1723","UAI 20.720 Box 1, Folder 4","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513800","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00005","Letters from Oliver Peabody to the Fellows of Harvard College, June 1724 and September 1724","June 1724September 1724","17241724","17241724","UAI 20.720 Box 1, Folder 5","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513811","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00006","Letter from Oliver Peabody to Edward Holyoke, December 10, 1751","December 10, 1751","1751","1751","UAI 20.720 Box 1, Folder 6","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513822","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00007","Votes of the Commission for Indian Affairs, 1751-1752","1751-1752","1751","1752","UAI 20.720 Box 1, Folder 7","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513833","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00008","Letter from Natick Indians to the Harvard Corporation, May 5, 1752","May 5, 1752","1752","1752","UAI 20.720 Box 1, Folder 8","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513841","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00009","Letter from Oliver Peabody, Jr. to the Harvard Corporation, April 2, 1752","April 2, 1752","1752","1752","UAI 20.720 Box 1, Folder 9","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513842","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00010","Letter from Natick Indians to the Harvard Corporation, January 1, 1753","January 1, 1753","1753","1753","UAI 20.720 Box 1, Folder 10","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513768","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00011","Letter from David Morse to the Harvard Corporation, January 22, 1753","January 22, 1753","1753","1753","UAI 20.720 Box 1, Folder 11","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513769","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00012","Letter from Stephen Badger to the Harvard Corporation, February 20, 1753","February 20, 1753","1753","1753","UAI 20.720 Box 1, Folder 12","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513770","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00013","Letter from Natick Indians to the Harvard Corporation, May 4, 1753","May 4, 1753","1753","1753","UAI 20.720 Box 1, Folder 13","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513771","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00014","Vote of the Commission for Indian Affairs, August 3, 1753","August 3, 1753","1753","1753","UAI 20.720 Box 1, Folder 14","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513772","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00015","Legal bond of Stephen Badger to Harvard College, August 28, 1753","August 28, 1753","1753","1753","UAI 20.720 Box 1, Folder 15","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513773","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
