Name	Description	Source	Interview
24/7 global access to information resources	"Patrons now have the expectation that they will have access to all information resources from any location, at any hour of the day or night"	Interview; Notes 09-14-2012	"Bidlack, Beth; Danielson, Virginia; Der Manuelian, Peter; Dulin, Kim; Hafner, Joseph; King, Gary; Reilly, Bernie"
"Access to digital resources and data, increased demand for"	"There is increasing demand on the part of patrons to have online access to materials. This demand ties into their changing perceptions about the purpose of the library and expectations that resources should be available electronically, not just in print"	Interview	"Anonymous-3; Danielson, Virginia; Hafner, Joseph; Pollard, Russell; Robinson, Tracey"
"Access to information and technology resources, changing patron expectations for"	"Patrons now expect to have remote, unlimited, and constantly available access to information and technology resources, such as software and articles online"	Interview	"Anonymous-3; Bidlack, Beth; Danielson, Virginia; Der Manuelian, Peter; Rudenstine, Neil; Wicks, Scott"
"Archival collections, proliferation and quality of"	There is a proliferation in the number and quality of archival collections	Interview	"Hirtle, Peter"
"Article-level access, increased demand for"	"Patrons and collections development professionals are increasingly demanding access to individual articles, rather than simply entire databases of articles"	Interview	"Brooks, Sam"
Asymmetric impact of digital revolution on academic disciplines	"Despite the increased number of electronic resources, scholarly resources in some academic disciplines are still only available in print and will continue to be for the foreseeable future"	Interview; Notes 09-14-2012	"Smith, Mackenzie"
Balancing just-in-time versus just-in-case collecting	"Due to funding constraints, libraries are being forced to recalibrate there balance between collecting for immediate needs and collecting for the future"	Interview	"Hirtle, Peter"
"Balancing print-vs-digital collecting, challenge of"	"Collections development professionals face trade-offs in collection print vs. digital materials due to patron expectations, changes in publishing practices,  and the asymmetric impact of the digital revolution on some academic disciplines"	Interview	"Neal, James"
Big data	Refers to a collection of datasets so large and complex that it is challenging to manage it using traditional database or information management tools (Source: Wikipedia)	Notes 09-14-2012	"Cheng, James; Engell, James; King, Gary; Lynch, Clifford"
Big deals (e-journals)	"Describes the growth of a purchasing model involving the procurement of large vendor-specific
collections of electronic resources"	Brainstorming 09-12-2012	None
"Big deals (e-journals), diminished role of selector in"	"Describes the growth of a purchasing model involving the procurement of large vendor-specific
collections of electronic resources. Big deals include huge collections of materials which greatly limits the role of individual selectors in choosing specific information resources"	Interview	"Schwarzwalder, Bob"
"Born-digital content, challenges of collecting"	"Born-digital materials poses special challenges to collecting, especially in relation to preservation, that print materials do not pose."	Interview	"Blouin Jr., Fancis X.; Schulman, Andrea"
"Born-digital content, increased importance of"	"Content that is born-digital, having never been in print, is important to patrons who increasingly expect information to be digital and accessible at all times"	Interview	"Cheng, James; Kennedy, Mary Lee; Malpus, Constance; Stoller, Michael"
"Born-digital content, proliferation of"	Content that is born-digital has become increasingly common	Interview	"Kohane, Zak; Lynch, Clifford; Kennedy, Mary Lee; Sheehy, Matthew; Stoller, Michael"
Bundling books for sale as subscriptions	"Like with serials, increasingly publishers are bundling books together for sale as subscriptions"	Interview	"Shieber, Stuart"
Changing emphasis on information products vs. services	"Increasingly, publishers and other information providers are making content available as services rather than as individual digital (or otherwise) objects. For instance, Open APIs  provide access to aggregates of digital objects. This disrupts traditional models of ownership of resources."	Notes 09-14-2012	
Changing focus from ownership to access	"Increasingly, collections development professionals are changing their focus from owning content to providing access to content. Linked to 'Collections in the Cloud'"	Interview	Anonymous-3
Changing modalities of teaching	Universities and other institutions are beginning to offer courses and programs online and to support distance learning	Brainstorming 09-12-2012	None
Changing perception of the library amongst users	It is well-documented that the perceptions of 'what a library is for' has been changing for library patrons	Interview; Notes 09-14-2012	"Schwarzwalder, Bob; Shenton, Helen"
Cloud storage and services	Describes the services involved in providing access to data stored remotely via a network (Source: Wikipedia)	Notes 09-14-2012	None
Collaborative collections and collections development	"As funding pressure has increased, collections development professionals have increasingly turned to collaborations to increase the scope of materials for their patrons and reduce direct costs"	Interview	"Malpus, Constance; Wurl, Joel"
"Collecting practices, changes in"	"Increasingly, libraries can no longer 'collect for the ages', and instead must focus on meeting immediate patron needs or on collecting distinctive materials"	Interview	"Blouin Jr., Fancis X.; Eggleston, Betsey"
Collection-as-network-node	Collections are increasingly being seen as one node in a network of information resources that are made available to patrons	Interview	"Anderson, Rick"
