Date	Type	Topics	Summary	Report
24-Apr-13	Discussion session	Digital materials (digitized from Harvard collections);  Digital materials (acquired from vendors); Digital materials (access vs. ownership)	Suggestion to make references to 'digital collections' more specific. Broad language obscures important nuances and implications.	Has been addressed throughout the document in different places
24-Apr-13	Discussion session	Collaboration and/or coordination (internal); Motivation	Query about the motivation of the document and a comment that libraries have collaborated in the past but the document does not acknowledge this.	"Motivation addressed in Introduction and Executive Summary; We have cited Science Library Council as an existing, ongoing collaborative effort, and have made it clear in Recommendation #7 that successful collaborations have been underway for years. Duplication Recommendation in  #11 has been minimized somewhat, and the recommendation has been pushed to later in the document. Prospective duplication is recommended and not retrospective duplication."
24-Apr-13	Discussion session	Governance; Implementation; Terminology	Clarification requested about the governance models and how they work; Suggestion that document include illustrations of the various models; Prefer 'facilitator' to governance.	"Governance has been removed entirely from the Final Report, has been alluded to in Next Steps, and has been renamed as Facilitation instead. Implementation of facilitation will await the arrival of the VP for the Harvard Library. There was also a special open discussion session around the topic of Governance."
24-Apr-13	Discussion session	Collaboration and/or coordination (internal); Governance; Implementation	Clarification requested as to what is meant by the 'constituencies' described in the Executive Summary. Suggestion to include these constituents in the governance section.	"The 'constituencies' have been removed from the Final Report, although the issues were discussed at length during the Open Sessions."
24-Apr-13	Discussion session	Collaboration and/or coordination (internal); User-centric focus	Comment that one participant thought that the collaboration principles in the document were exciting.	None needed
24-Apr-13	Discussion session	Harvard Depository	Clarification was requested about Harvard Depository recommendation.	The reference to HD as single library was removed entirely and Recommendation #9 was reworded to review current use and support for the Harvard Depository.
24-Apr-13	Discussion session	Collections development policies; Decision rights; Duplication	Query about the effect that minimizing duplication has on decision rights.	The Final Report indicates that decision rights need to be addressed in the Implementation phase. It is #1 in the Dependencies section of the Final Report. The topic was also discussed during Open Sessions.
24-Apr-13	Discussion session	Courier service	Observation that the courier service in recommendation # 12 is essential to making the collaboration work.	None needed
24-Apr-13	Discussion session	General criticism; Implementation 	Request for a recommendation about using Harvard's collective strength to negotiate with vendors.  	"Negotiating with vendors, etc. is an implementation detail that will be addressed during the implementation phase after the Final Report is approved by the Library Board."
25-Apr-13	Discussion session	Alignment with the curriculum; Digital materials (e-resources)	"Comment that the document's focus on moving from print to digital is appreciated, as is its stated goal of fostering a stronger alignment with curriculum."	Several of these topics are specifically addressed in the Introduction and Recommendation #2 (curricular research).
25-Apr-13	Discussion session	Collecting for the ages (versus immediate needs); Terminology	Clarification requested for the phrase 'collecting for the ages'.	Term was clarified Recommendations #2 and #3.
25-Apr-13	Discussion session	Alignment with the curriculum; Collecting for the ages (versus immediate needs)	"Comment that the Faculty Advisory Council has many people on it who are highly interested in collecting for the ages, not just meeting immediate needs"	"Addressed in Recommendations #1, #2, and #3."
25-Apr-13	Discussion session	Governance; Technology and tools	"Comment that tools like POOF, Gobi can help with tracking orders and duplicates. Avoiding a bureaucracy for governance is essential"	"This topic depends upon how collaboratives and facilitation is implemented and therefore it is somewhat out of scope for this Final Report. For collections development policies, that is a common library practice, addressed in Recommendation #6. Recommendation #7's Science Library Council also demonstrates that these kinds of activities can be added to daily business without onerous bureaucracy."
25-Apr-13	Discussion session	Digital materials (e-resources)	Concern expressed about moving too quickly away from print monographs to electronic resources	"High cost of e-journals is out of scope for the Final Report (it's the reason that why we are collaborating; we're already addressing this in the duplication recommendation). Recommendation #11 discusses the importance of managing life-cycle costs. Also, Recommendation #1 also discusses managing the choice between e-resources and print resources."
25-Apr-13	Discussion session	Decision rights; Technology and tools	Confusion expressed over what was meant by 'clearinghouse of targeted e-book packages'	The language was changed in Recommendation #1 to read: 'create a clearinghouse of information about targeted e-book packages' to clarify this.
25-Apr-13	Discussion session	Governance	A governance model proposed by a respondent places the facilitator at the organizational level of a shared services head	Models for facilitation were discussed at a special Open Session on governance. Implementation of a specific facilitator role is not in scope for this Final Report.
26-Apr-13	Review Committee	Governance	Recommendation to change language to 'manage' or 'facilitate'	This change was made and the Governance section of the Final Report was removed.
26-Apr-13	Review Committee	Governance	Strong support voiced for single role of coordination	Topic was discussed in multiple Open Sessions.
26-Apr-13	Review Committee	Governance	Request to clarify what is meant by governance/management	Topic was discussed in multiple Open Sessions.
26-Apr-13	Review Committee	Collections development policies	Suggestion to emphasize making adherence to policy as easy as possible on staff	By stating that creating collections development policies are a profession best practice and providing common data elements in the Final Report makes it easy for librarians.
26-Apr-13	Review Committee	Access versus ownership	Request to clarify distinction between access and acquisition	"Recommendation #1 challenges address many of these concerns. Differences between disciplines are acknowledged throughout the report, such as the Executive Summary."
26-Apr-13	Review Committee	Harvard Depository	Suggestion to remove the second sentence about circulating collections in the Harvard Depository	The reference to HD as single library was removed entirely and Recommendation #9 was reworded to review current use and support for the Harvard Depository.
26-Apr-13	Review Committee	Digital materials	Suggestion to change the ratio of challenges to benefits for Recommendation #1	Addressed in Recommendation #1 in the Final Report
26-Apr-13	Review Committee	Collaboration and/or coordination (internal); Duplication	Document should be refocused to emphasize collaboration rather than minimizing duplication	"This refocusing was completed, especially in Recommendation #11. Duplication was also moved to a less prominent place in the list."
26-Apr-13	Review Committee	Digital materials	"Clarify that digital surrogates must be stable and from trusted, long-term sources"	This was addressed using language of 'trustworthy' in Recommendation #1. The Introduction also acknowledges the uncertainty around digital preservation.
26-Apr-13	Review Committee	General criticism	Suggestion made to emphasize collaboration in the introduction of the document	Doug's concepts were integrated into the Final Report rather than stated as a single paragraph.
26-Apr-13	Review Committee	Technology and tools	Suggestion to explore using technology to facilitate collaboration	"Tools and technology was mentioned in relation to acquisition of new materials . A searchable, electronic database of collections development policies was raised in Next Steps and Recommendation #6."
30-Apr-13	Discussion session	Museums	Comment that museums were not mentioned in the document	Museums were brought up specifically in the Introduction of the Final Report.
30-Apr-13	Discussion session	Collections development policies; Collaboration and/or coordination (internal)	Collections development policies are not a panacea	"This topic was addressed specifically in the Open Sessions. It was also addressed in the common data elements for collections development policies in the Appendix 2 of the Final Report. Also, most people rejected this argument in the Discussion sessions."
30-Apr-13	Discussion session	Funding	Comment that differences in library budgets may affect collecting decisions	Funding and implementation was not in scope for this Final Report.
30-Apr-13	Discussion session	Funding; Decision rights	Query about how should the intersection of funding ability and decision rights be managed?	Funding and implementation was not in scope for this Final Report.
30-Apr-13	Discussion session	Digital materials; User-centric focus	Query about how a library retains its local character in an environment that emphasizes seamless experience for the user	"It is explicitly stated in the Introduction and Executive Summary, including elsewhere, that collections development will remain local"
30-Apr-13	Discussion session	Digital materials (digitized from Harvard collections); Duplication; Paper artifacts	Digitization paradoxically causes patrons to wish to see the original paper artifact. Paper artifacts still matter.	"Recommendation #3 acknowledges the value of print materials. The value of analog materials is acknowledged elsewhere as well, such as the Introduction and Executive Summary."
30-Apr-13	Discussion session	Paper artifacts	Observation that material culture is an active area of research and that physical artifacts do matter.	"See previous point. Recommendation #3 specifies materials in all formats, and Recommendation #5 also indicates all formats as well."
30-Apr-13	Discussion session	Digital materials; Digital materials (digitized from Harvard collections); Funding	"Query about how best to fund expensive, labor-intensive digitization projects?"	Funding and implementation was not in scope for this Final Report.
30-Apr-13	Discussion session	Digital materials (digitized from Harvard collections); Infrastructure; Technology and tools	Comment that a robust infrastructure is needed to support digital collections.	"Recommendation #10 explicitly calls for the creation of a digitization program, Recommendation #4 acknowledges that greater investment in IT is needed to sustain and build collections; and in Dependencies for Success, #2 specifically identifies technology infrastructure as a necessary step."
30-Apr-13	Discussion session	Digital materials (e-resources)	"Suggestion that libraries should emphasize Open Access more and become the owners of digital content, rather than lease digital materials from vendors."	Open Access is mentioned directly in the Executive Summary and Recommendation #1.
30-Apr-13	Discussion session	Collaboration and/or coordination (internal); Implementation	Query whether intra-Harvard collaborations/collaboratives apply to special collections?	Recommendation #6 and #7 address this issue.
30-Apr-13	Discussion session	User-centric focus; Metrics	"Comment that a user-centric focus is desirable, but we must also be able to measure/assess user needs. This may be a challenge vis a vis special collections."	Recommendation #13 addresses qualitative and quantitative assessments and Recommendation #4 puts the user at the center of the network of resources implying that user needs will be considered.
30-Apr-13	Discussion session	Collecting for the ages (versus immediate needs)	Comment that the document contains too much emphasis on satisfying current needs and not enough on collecting for the ages	Some language was reordered to make sure the emphasis was more equal between the two 'poles'. Recommendation #2 was rewritten carefully to put established/traditional first.
30-Apr-13	Discussion session	Collections life-cycle	Comment that it is important to consider life-cycle costs when acquiring new materials	"Important point, but out of scope for this Final Report."
30-Apr-13	Discussion session	Governance	"Comment that, regarding governance models, the job of coordinating/facilitating collections development seems to be too large for one person. Did the Affinity Group Heads look to other institutions for models on how best to achieve this facilitation?"	A special session was created to discussion governance/facilitation. The topic of Governance/Facilitation was removed from the Final Report.
30-Apr-13	Discussion session	Funding	Query about whether plans exist for funding the various recommendations in this document?	Funding and implementation was not in scope for this Final Report.
