Name,Description,Source,Interview
"Access to information and technology resources, changing patron expectations for","Patrons now expect to have remote, unlimited, and constantly available access to information and technology resources, such as software and articles online",Interview,"Cheng, James; Stoller, Michael"
"Article-level access, increased demand for","Patrons and collections development professionals are increasingly demanding access to individual articles, rather than simply entire databases of articles",Notes 09-14-2012,"Shieber, Stuart"
Asymmetric impact of digital revolution on academic disciplines,"Despite the increased number of electronic resources, scholarly resources in some academic disciplines are still only available in print and will continue to be for the foreseeable future",Interview,"Hamburger, Jeffrey"
Big data,Refers to a collection of datasets so large and complex that it is challenging to manage it using traditional database or information management tools (Source: Wikipedia),Interview,"Schulman, Andrea"
"Born-digital content, proliferation of",Content that is born-digital is becoming increasingly common,Brainstorming 09-12-2012,"Blouin Jr., Francis X.; Chang, James; Eggleston, Betsey"
"Born-digital materials, impact on research and learning",The impact of born-digital materials on the research and learning process,Interview,"Byrd, Bob"
"Born-digital content, challenges of collecting","Born-digital materials poses special challenges to collecting, especially in relation to preservation, that print materials do not pose.",Interview,"Robinson, Tracey"
"Challenges inherent in building hybrid archives, increased awareness of","Institutions, libraries, and collections development professionals have become increasingly aware of the challenges of building and maintaining collections that include print, digital, and special collections materials",Brainstorming 09-12-2012,"Robinson, Tracey; Schnapp, Jeffrey"
"Content control, changes in models of","With the rise of e-resources, there have been changes in models of content control, in particular pertaining to owning vs. leasing of content.",Brainstorming 09-12-2012; Notes 09-14-2012,"Brooks, Sam; Eggleston, Betsey; Hickerson, Thomas"
"Collaboration between researchers, increased frequency of","More researchers are collaborating with one another, facilitated by technologies such as social networking",Interview,"Deschner, Paul; Dulin, Kim; Lynch, Clifford; Weinberger, David"
